  Ti223:     5: 15036, 4846, 6584, 4607, 767
  Ti224:     5: 4541, 6177, 5174, 93, 4600
  Ti225:     5: 231, 6342, 6082, 6662, 564
  Ti226:     5: 137, 6224, 5923, 15537, 15659
  Ti227:     5: 5041, 4892, 5896, 15378, 985
  Ti228:     5: 5265, 768, 14770, 6686, 6461
  Ti229:     6: 15284, 6733, 15638, 6576, 15095, 5399
  Ti230:     5: 4829, 6226, 15318, 15583, 6751
  Ti231:     5: 6250, 15605, 6355, 59, 4856
  Ti232:     5: 4947, 5418, 15373, 15389, 5020
  Ti233:     6: 15503, 15546, 5762, 317, 4884, 75
  Ti234:     5: 4905, 15364, 6671, 15381, 964
  Ti235:     5: 4834, 14897, 955, 5904, 5288
  Ti236:     5: 5875, 15056, 15064, 745, 230
  Ti237:     5: 6017, 6004, 6857, 15349, 6846
  Ti238:     5: 4863, 5825, 15212, 6665, 4978
  Ti239:     5: 5061, 4951, 6721, 981, 15436
  Ti240:     5: 4751, 5780, 4816, 840, 6688
  Ti241:     5: 221, 15058, 15665, 6076, 4644
  Ti242:     5: 5315, 14723, 14874, 344, 5753
  Ti243:     6: 4568, 15079, 6359, 14976, 15580, 6413
  Ti244:     5: 129, 6214, 14932, 4748, 6589
  Ti245:     6: 5093, 6118, 14687, 5692, 6102, 18
  Ti246:     5: 4960, 5614, 5712, 6525, 4766
  Ti247:     6: 14690, 15462, 5565, 278, 5677, 53
  Ti248:     5: 78, 5225, 6162, 14883, 4640
  Ti249:     5: 4710, 5628, 14829, 5121, 753
  Ti250:     5: 5125, 6209, 15568, 4621, 122
  Ti251:     5: 109, 14795, 15620, 15083, 5233
  Ti252:     5: 15127, 5260, 6652, 727, 4805
  Ti253:     6: 4531, 14760, 419, 4673, 6469, 4792
  Ti254:     6: 135, 6221, 14835, 326, 4575, 15579
  Ti255:     6: 5476, 15539, 14697, 15146, 666, 6615
  Ti256:     6: 4585, 5486, 15073, 6424, 14810, 6365
  Ti257:     6: 5262, 6179, 6548, 5549, 15000, 15109
  Ti258:     5: 5181, 15625, 6170, 6273, 5286
  Ti259:     5: 4743, 15048, 6071, 4677, 224
  Ti260:     5: 4525, 14743, 14746, 5179, 6251
  Ti261:     6: 4835, 5746, 15060, 899, 4987, 6610
  Ti262:     5: 4542, 14767, 15581, 15606, 15069
  Ti263:     5: 5926, 15393, 6813, 4941, 15365
  Ti264:     5: 4579, 15483, 6123, 285, 39
  Ti265:     6: 5444, 6288, 15025, 5266, 6044, 14847
  Ti266:     5: 54, 139, 6138, 14721, 5542
  Ti267:     5: 4551, 5193, 4545, 14755, 102
  Ti268:     5: 4807, 14969, 15331, 626, 5927
  Ti269:     6: 5120, 6186, 15519, 14709, 5830, 14773
  Ti270:     5: 4935, 5910, 6818, 15363, 5901
  Ti271:     5: 6159, 6599, 5861, 438, 15220
  Ti272:     5: 4984, 5326, 15265, 15545, 101
  Ti273:     5: 5047, 15367, 4814, 4879, 6714
  Ti274:     5: 4717, 15256, 15561, 6741, 5251
  Ti275:     6: 5049, 15385, 991, 5799, 5019, 6833
  Ti276:     5: 4911, 15343, 700, 5708, 5737
  Ti277:     5: 4982, 5695, 4914, 6789, 831
  Ti278:     5: 4896, 15279, 15325, 15573, 4827
  Ti279:     6: 6223, 14892, 5919, 15489, 5119, 14868
  Ti280:     5: 4685, 4967, 15211, 6459, 4708
  Ti281:     6: 45, 5171, 6129, 136, 4615, 14759
  Ti282:     5: 211, 5382, 14963, 14995, 15655
  Ti283:     6: 4627, 5229, 6137, 537, 15088, 6464
  Ti284:     5: 5597, 15090, 15522, 14859, 5328
  Ti285:     5: 6212, 15571, 15497, 14789, 5972
  Ti286:     5: 124, 5256, 4624, 6284, 4550
  Ti287:     5: 176, 4553, 6266, 14818, 5205
  Ti288:     5: 4704, 15082, 15501, 14798, 5522
  Ti289:     6: 14923, 15631, 6516, 14980, 5017, 475
  Ti290:     6: 14716, 14838, 6192, 5297, 5124, 4601
  Ti291:     5: 5729, 15311, 15273, 1001, 6817
  Ti292:     5: 15097, 5255, 6478, 744, 5528
